Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:760jhRscwGbIIe1m1IIQpU,389ee21c71ab4b3b859e5aea3359b01c,2025-06-09T16:22:41Z,1,,d89f234e5de04c8f992258aa0771d78a
spotify:track:0qcr5FMsEO85NAQjrlDRKo,389ee21c71ab4b3b859e5aea3359b01c,2025-06-09T16:22:41Z,-1,I've never seen Frozen nor has anyone in my family (the benefit of having boys? 🤷‍♂️) and even so I find this song annoyingly overplayed.,d89f234e5de04c8f992258aa0771d78a
spotify:track:2stkLJ0JNcXkIRDNF3ld6c,389ee21c71ab4b3b859e5aea3359b01c,2025-06-09T16:22:41Z,0,"It does instantly take you into Toy Story, that's true. But it's corny. Randy Newman always is.",d89f234e5de04c8f992258aa0771d78a
spotify:track:6btdYzQ8eZFBrOlUKVHuz0,389ee21c71ab4b3b859e5aea3359b01c,2025-06-09T16:22:41Z,0,"I'm stuck at 6 thumbs so have to withdraw one, so I'll reluctantly withdraw this one, cuz See My Vest is even better than Be My Guest. Even Bart acknowledges it's a catchy tune.",d89f234e5de04c8f992258aa0771d78a
spotify:track:6oYkwjI1TKP9D0Y9II1GT7,389ee21c71ab4b3b859e5aea3359b01c,2025-06-09T16:22:41Z,1,,d89f234e5de04c8f992258aa0771d78a
spotify:track:7h5crXBSY5SSpXRIlklv74,389ee21c71ab4b3b859e5aea3359b01c,2025-06-09T16:22:41Z,2,"This is the one I was talking about in the chat. It's the same message and vibe as Hakuna Matata but from the 60s. Really the entire Jungle Book soundtrack is a banger, arguably in the conversation for best albums in the best musical decade. ""I wanna be like you"" is amazing. ""Trust in me"" is incredible. The vulture song is so fucking cool that they were gonna get the Beatles, it fell through, so they went ahead and drew the vultures as Beatles anyway and basically sang a Beatles-esque song. Everything about this movie, this soundtrack, the video game version etc, is perfect. I hope this one wins.",d89f234e5de04c8f992258aa0771d78a
spotify:track:7zsw78LtXUD7JfEwH64HK2,389ee21c71ab4b3b859e5aea3359b01c,2025-06-09T16:22:41Z,1,"Comment is spot on. She's amazing, even if a prime example of Disney villain homophobia.",d89f234e5de04c8f992258aa0771d78a
spotify:track:0HU5JnVaKNTWf6GykV9Zn8,389ee21c71ab4b3b859e5aea3359b01c,2025-06-09T16:22:41Z,0,"It's great, but Hakuna Matata is better cuz it's LOL funny.",d89f234e5de04c8f992258aa0771d78a
spotify:track:7zsw78LtXUD7JfEwH64HK2,ff6d8a8869434092b80ea11ba6f462c2,2025-06-09T16:30:58Z,-1,,d89f234e5de04c8f992258aa0771d78a
spotify:track:7lPxGs556PD8H3bUd9LzHp,ff6d8a8869434092b80ea11ba6f462c2,2025-06-09T16:30:58Z,2,,d89f234e5de04c8f992258aa0771d78a
spotify:track:4zDfgax6Ihb0UWdour1ZEs,ff6d8a8869434092b80ea11ba6f462c2,2025-06-09T16:30:58Z,1,,d89f234e5de04c8f992258aa0771d78a
spotify:track:2bwSCIuNtVrQPVddCi8sOW,ff6d8a8869434092b80ea11ba6f462c2,2025-06-09T16:30:58Z,1,,d89f234e5de04c8f992258aa0771d78a
spotify:track:28UMEtwyUUy5u0UWOVHwiI,ff6d8a8869434092b80ea11ba6f462c2,2025-06-09T16:30:58Z,1,,d89f234e5de04c8f992258aa0771d78a
spotify:track:4b1yxSdlumA8N4fEk4UOZp,dae8a20b838b434ca7b5de83d6f46fa5,2025-06-09T16:32:09Z,1,,d89f234e5de04c8f992258aa0771d78a
spotify:track:7zsw78LtXUD7JfEwH64HK2,dae8a20b838b434ca7b5de83d6f46fa5,2025-06-09T16:32:09Z,1,,d89f234e5de04c8f992258aa0771d78a
